sample success SP-Score Modeler SPFN SPFP Compression Compression TC s h:m:s max_rss max_vms max_uss max_pss io_in io_out mean_load cpu_time
hla_500_2 1 1.0 1.0 0.0 0.0 (naive) 1.0 1.0 171.7347 0:02:51 6707.17 123537.79 6318.66 6417.92 1.99 4.48 169.20 334.65
kringle_1000_1 1 0.925044404973357 0.916256157635468 0.07495559502664295 0.08374384236453203 (naive) 1.02 0.7528089887640449 143.6440 0:02:23 5739.81 123671.55 5691.95 5817.73 1.99 4.87 151.78 254.39
cyclo_1000_2 1 0.8854515050167224 0.8906644238856182 0.11454849498327757 0.10933557611438183 (naive) 1.0098522167487685 0.7407407407407407 260.7132 0:04:20 6958.61 123668.95 6570.44 6755.68 1.99 6.97 211.08 606.29
p450_500_1 1 0.39847830557269176 0.6403833443489756 0.6015216944273083 0.3596166556510244 (naive) 1.677734375 0.03206412825651302 453.1440 0:07:33 7906.90 123543.49 7518.63 7703.72 1.98 6.18 194.75 914.66
GEL_50_0 1 0.6805970149253732 0.6508087535680305 0.31940298507462683 0.3491912464319695 (naive) 0.9533333333333334 0.3835616438356164 207.7186 0:03:27 5447.34 123543.13 5058.17 5152.58 1.99 4.16 175.52 432.24
zf-CCHH_20_2 1 0.8915447734570103 0.8833510074231177 0.10845522654298967 0.11664899257688233 (naive) 1.0512820512820513 0.5428571428571428 185.8388 0:03:05 5227.60 123664.29 4840.36 4976.49 1.99 3.61 150.77 334.27
annexin_200_1 1 0.983075946689232 0.9841168996188056 0.01692405331076796 0.015883100381194448 (naive) 1.0030959752321982 0.9465408805031447 161.2394 0:02:41 5896.97 123599.48 5509.68 5604.91 1.99 4.36 133.97 311.56
cytb_500_3 1 0.8692756036636137 0.8714524207011686 0.13072439633638633 0.12854757929883143 (naive) 1.02 0.6521739130434783 160.8333 0:02:40 6475.25 123538.03 6086.67 6180.94 1.98 4.43 162.38 309.67
uce_20_3 1 0.8627180899908172 0.8492271535749797 0.13728191000918277 0.1507728464250203 (naive) 0.9728260869565217 0.42168674698795183 299.3523 0:04:59 5481.05 123473.88 5093.00 5197.25 1.99 3.96 202.25 695.29
sodfe_20_0 1 0.8206624012043658 0.8194287861706125 0.17933759879563416 0.18057121382938746 (naive) 1.0273972602739727 0.49760765550239233 357.2053 0:05:57 5451.07 123601.74 5063.13 5190.89 1.99 3.99 203.87 801.18
blm_500_1 1 0.9141266527487821 0.9304434055815272 0.08587334725121787 0.06955659441847284 (naive) 1.051094890510949 0.7528089887640449 445.3437 0:07:25 7710.48 123604.59 7693.56 7697.96 1.98 5.76 240.39 1098.77
asp_20_3 1 0.8453952664627274 0.8393142583120204 0.15460473353727255 0.16068574168797956 (naive) 0.9973684210526316 0.5508021390374331 556.9006 0:09:16 6277.42 123479.18 5889.17 6012.22 1.99 3.48 212.10 1259.95
lyase_1_50_0 1 0.8558024691358025 0.8511787819253438 0.1441975308641975 0.1488212180746562 (naive) 0.9902152641878669 0.7077534791252486 453.7115 0:07:33 6451.15 123666.06 6063.69 6197.90 1.99 4.16 213.42 1031.80
phc_500_1 1 0.8938737040527804 0.898276188672097 0.10612629594721956 0.10172381132790298 (naive) 1.0279329608938548 0.7486033519553073 287.6370 0:04:47 6686.83 123543.09 6660.39 6666.61 1.99 4.10 1267.85 3744.83
ghf5_500_3 1 0.6727986264410105 0.6759487432232627 0.3272013735589895 0.3240512567767373 (naive) 1.048936170212766 0.37017994858611825 351.4144 0:05:51 7477.51 123476.54 7090.12 7275.36 1.98 5.80 252.35 927.36
DEATH_500_0 1 0.8825065274151436 0.8829676071055381 0.11749347258485643 0.11703239289446188 (naive) 1.0125786163522013 0.6693548387096774 151.2260 0:02:31 6684.59 123609.96 6658.56 6664.84 1.98 4.31 157.55 288.17
tms_200_2 1 0.9777862887782459 0.9722010662604722 0.022213711221754084 0.027798933739527798 (naive) 1.0 0.8982456140350877 248.3091 0:04:08 6961.35 123537.96 6573.56 6673.35 1.99 4.82 178.63 488.56
tgfb_1000_2 1 0.8282700421940928 0.8659020732245258 0.17172995780590716 0.13409792677547416 (naive) 1.076271186440678 0.3247863247863248 158.3058 0:02:38 6723.92 123543.52 6336.03 6521.25 1.99 4.89 119.52 228.88
