sample success SP-Score Modeler SPFN SPFP Compression Compression TC s h:m:s max_rss max_vms max_uss max_pss io_in io_out mean_load cpu_time
gluts_200_0 1 0.9287368421052632 0.9314822635135135 0.0712631578947368 0.06851773648648651 (naive) 1.025531914893617 0.7339055793991416 199.0713 0:03:19 6668.90 123589.03 6324.64 6409.83 1.99 5.63 132.14 343.66
myb_DNA-binding_200_3 1 0.9519038076152304 0.9405940594059405 0.04809619238476959 0.05940594059405946 (naive) 1.0 0.8035714285714286 187.6055 0:03:07 6437.55 110826.90 6094.31 6182.70 405.99 5.56 106.77 201.19
HLH_500_1 1 0.9353796445880452 0.9353796445880452 0.06462035541195477 0.06462035541195477 (naive) 1.0 0.8571428571428571 168.8646 0:02:48 6426.80 123528.84 6083.73 6193.75 1.98 6.34 105.74 233.96
oxidored_q6_100_3 1 0.9608527131782946 0.9660950896336711 0.03914728682170543 0.03390491036632892 (naive) 1.0105263157894737 0.9022556390977443 242.7782 0:04:02 6778.25 123525.98 6434.43 6519.25 1.99 5.40 170.87 532.26
DMRL_synthase_1000_1 1 0.9058020477815699 0.8811420982735724 0.09419795221843008 0.11885790172642763 (naive) 0.9560439560439561 0.6804733727810651 203.1540 0:03:23 6944.80 123591.95 6600.32 6714.31 1.97 8.32 142.19 335.09
cryst_20_3 1 0.912404634077423 0.9170690144845215 0.087595365922577 0.0829309855154785 (naive) 1.0052083333333333 0.6795580110497238 318.4505 0:05:18 6573.51 123591.53 6228.76 6389.05 1.99 5.21 179.93 639.21
sodcu_1000_2 1 0.8787878787878788 0.9019607843137255 0.12121212121212122 0.0980392156862745 (naive) 1.029585798816568 0.7228915662650602 216.7222 0:03:36 7090.86 123599.82 6746.21 6910.25 1.97 8.14 120.03 311.29
KAS_20_0 1 0.3651226158038147 0.3701657458563536 0.6348773841961852 0.6298342541436464 (naive) 1.0420792079207921 0.0825 497.7184 0:08:17 7403.48 123660.84 7058.62 7171.41 1.99 5.23 199.86 1042.02
uce_50_3 1 0.9282828282828283 0.912941388964147 0.07171717171717173 0.087058611035853 (naive) 0.9836956521739131 0.5843373493975904 266.3224 0:04:26 6853.65 111311.75 6613.12 6685.02 49.99 5.43 153.29 413.25
DMRL_synthase_500_3 1 0.9085324232081912 0.8837981407702523 0.09146757679180884 0.11620185922974768 (naive) 0.9560439560439561 0.6923076923076923 188.6472 0:03:08 6928.05 123592.81 6582.98 6666.20 1.98 7.21 128.52 290.54
msb_20_2 1 0.7916666666666666 0.7879075656853435 0.20833333333333337 0.21209243431465652 (naive) 1.018987341772152 0.42758620689655175 307.1027 0:05:07 6702.77 123596.85 6357.81 6462.87 1.99 5.18 176.59 626.10
rhv_1000_2 1 0.368511286789218 0.46496815286624205 0.631488713210782 0.535031847133758 (naive) 1.3621794871794872 0.05005561735261402 231.5492 0:03:51 7144.32 123528.79 6799.24 6962.96 1.98 8.45 212.31 526.54
GEL_1000_3 1 0.7213930348258707 0.7045675413022352 0.2786069651741293 0.2954324586977648 (naive) 1.0 0.3835616438356164 180.2612 0:03:00 6647.71 123592.76 6303.17 6386.25 1.97 6.80 139.49 312.70
ghf13_50_0 1 0.26519156357294676 0.30393504059962523 0.7348084364270533 0.6960649594003747 (naive) 1.3146964856230032 0.001697792869269949 422.5438 0:07:02 8190.27 123596.92 7845.43 8006.86 1.99 5.24 194.63 876.44
cryst_50_0 1 0.922011867759254 0.9199323371863547 0.07798813224074597 0.0800676628136453 (naive) 1.0 0.6961325966850829 249.3524 0:04:09 6558.21 123654.09 6214.71 6377.99 1.99 5.33 166.45 499.48
ghf5_500_1 1 0.6247240618101545 0.6396283274736313 0.3752759381898455 0.3603716725263687 (naive) 1.1063829787234043 0.30848329048843187 311.3631 0:05:11 8229.00 123594.32 7884.06 7994.13 1.98 7.73 164.12 557.67
hla_500_3 1 1.0 1.0 0.0 0.0 (naive) 1.0 1.0 212.1874 0:03:32 7109.19 111449.25 6764.57 6894.55 85.98 6.60 116.32 251.35
int_20_0 1 0.5996659242761693 0.5983333333333334 0.40033407572383073 0.4016666666666666 (naive) 1.0228310502283104 0.22277227722772278 348.9414 0:05:48 7069.74 123592.81 6724.75 6888.34 1.99 5.18 184.26 690.50
